               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097247,            0.042651,            0.088035,             0.38586,             0.06181,            0.050332,            0.019526,            0.077323,            0.031699,            0.079654,            0.070536,           0.0032738,           0.0032738
                   1,            0.069232,            0.042749,            0.073242,             0.60126,             0.14013,            0.080235,            0.039118,            0.069163,            0.027797,            0.064931,            0.040405,           0.0064763,           0.0064763
                   2,            0.066806,            0.038014,            0.061957,             0.68392,               0.119,             0.10532,            0.050315,            0.068664,            0.024495,            0.056019,            0.010142,           0.0095468,           0.0095468
                   3,            0.063332,            0.037376,            0.053204,             0.76262,             0.12443,              0.1551,            0.083472,            0.066597,            0.025694,            0.049189,            0.009406,            0.009406,            0.009406
                   4,             0.05929,            0.038084,            0.045026,             0.51533,             0.29184,             0.24212,             0.14466,            0.063542,            0.026165,              0.0398,            0.009406,            0.009406,            0.009406
                   5,            0.057014,            0.036768,            0.038812,             0.65428,             0.25104,             0.23226,             0.12986,            0.057481,            0.025715,            0.042509,            0.009208,            0.009208,            0.009208
                   6,            0.056379,            0.035296,            0.035458,              0.3781,             0.31902,             0.22787,             0.13007,            0.062813,            0.025365,            0.032893,             0.00901,             0.00901,             0.00901
                   7,            0.054259,            0.036238,            0.030768,             0.63426,             0.41298,             0.36584,             0.21516,            0.060496,            0.023551,            0.030066,            0.008812,            0.008812,            0.008812
                   8,            0.053602,            0.034746,            0.028741,             0.52532,             0.38031,             0.35473,             0.19648,             0.06176,            0.024981,            0.027589,            0.008614,            0.008614,            0.008614
                   9,            0.052782,            0.034401,            0.024026,             0.46326,             0.45071,             0.38845,             0.21224,            0.058268,            0.025184,            0.022951,            0.008416,            0.008416,            0.008416
                  10,            0.051273,            0.034492,            0.024023,             0.46367,             0.44149,             0.37096,             0.21164,            0.057796,            0.026475,            0.029775,            0.008218,            0.008218,            0.008218
                  11,            0.051371,            0.034478,            0.021359,              0.5364,             0.35154,             0.29493,             0.17378,            0.060282,            0.028023,            0.028055,             0.00802,             0.00802,             0.00802
                  12,            0.052231,            0.033466,            0.017948,             0.49956,             0.48529,             0.45125,             0.26915,            0.058313,             0.02427,            0.018158,            0.007822,            0.007822,            0.007822
                  13,             0.04991,            0.033875,            0.017953,             0.67673,             0.38569,              0.4046,             0.23961,              0.0587,            0.024902,            0.022078,            0.007624,            0.007624,            0.007624
                  14,             0.04989,            0.033002,            0.015884,             0.50968,             0.45671,             0.39191,             0.23999,            0.055188,            0.024874,            0.021568,            0.007426,            0.007426,            0.007426
                  15,            0.049506,            0.033639,             0.01505,             0.66897,             0.45013,             0.49535,             0.30248,            0.059078,            0.023387,            0.018224,            0.007228,            0.007228,            0.007228
                  16,            0.047893,            0.032776,            0.013148,             0.80718,             0.44892,             0.50719,             0.32188,            0.053963,            0.023582,            0.016802,             0.00703,             0.00703,             0.00703
                  17,            0.047427,            0.032923,            0.012184,             0.62279,             0.46326,              0.4929,             0.30771,            0.056772,            0.023885,            0.016164,            0.006832,            0.006832,            0.006832
                  18,            0.047048,            0.033142,            0.011614,             0.51707,             0.56559,             0.53974,             0.33225,            0.053972,            0.022717,             0.01542,            0.006634,            0.006634,            0.006634
                  19,            0.046103,            0.033135,            0.010025,              0.4929,             0.56607,             0.50942,             0.31291,            0.051896,            0.023911,            0.019107,            0.006436,            0.006436,            0.006436
                  20,            0.045176,            0.031187,           0.0094667,             0.62095,             0.57212,             0.55207,             0.34626,            0.054991,            0.023086,            0.013485,            0.006238,            0.006238,            0.006238
                  21,            0.045085,             0.03195,           0.0091219,             0.52229,             0.61845,             0.57833,             0.38598,            0.053551,            0.023456,            0.012239,             0.00604,             0.00604,             0.00604
                  22,            0.043214,            0.031708,           0.0099255,             0.52165,             0.57046,             0.54775,             0.33293,            0.055878,            0.023838,            0.012936,            0.005842,            0.005842,            0.005842
                  23,            0.044433,            0.031681,           0.0085676,             0.65536,              0.5183,             0.54032,             0.35325,            0.053925,            0.023643,            0.012845,            0.005644,            0.005644,            0.005644
                  24,            0.042288,            0.030222,           0.0077806,             0.69355,             0.54066,             0.56047,             0.36577,            0.056112,            0.023154,            0.012733,            0.005446,            0.005446,            0.005446
                  25,             0.04385,             0.03141,           0.0071846,             0.74119,             0.51459,             0.55361,             0.36743,            0.054406,            0.023661,             0.01121,            0.005248,            0.005248,            0.005248
                  26,            0.042982,            0.029584,            0.007613,             0.70595,             0.52279,             0.57211,             0.35632,            0.055255,            0.023396,             0.01362,             0.00505,             0.00505,             0.00505
                  27,            0.042585,            0.031783,           0.0068914,             0.52831,             0.59518,             0.57299,             0.38124,            0.053267,              0.0237,            0.011076,            0.004852,            0.004852,            0.004852
                  28,            0.041882,            0.030199,           0.0073425,             0.61719,             0.55449,              0.5593,             0.37342,            0.056343,            0.023036,            0.011449,            0.004654,            0.004654,            0.004654
                  29,            0.041892,            0.029776,           0.0065629,             0.55059,             0.58759,             0.56572,             0.34944,            0.054266,             0.02336,            0.010215,            0.004456,            0.004456,            0.004456
                  30,            0.041174,            0.029483,           0.0061411,             0.52923,             0.61308,             0.56829,             0.38019,            0.053197,            0.023685,           0.0098144,            0.004258,            0.004258,            0.004258
                  31,            0.040124,            0.030963,           0.0056301,             0.58793,             0.60904,             0.59496,             0.39981,             0.05204,            0.023149,            0.010239,             0.00406,             0.00406,             0.00406
                  32,            0.039174,            0.028583,           0.0052564,             0.50792,             0.58699,             0.56664,             0.38939,            0.053528,            0.023472,            0.010687,            0.003862,            0.003862,            0.003862
                  33,            0.040343,            0.029921,           0.0052303,             0.62247,             0.54501,                0.57,             0.39224,            0.052353,            0.023781,            0.011437,            0.003664,            0.003664,            0.003664
                  34,            0.039524,            0.029093,           0.0050813,             0.51412,             0.64872,              0.6144,             0.40228,            0.051152,            0.023609,            0.010599,            0.003466,            0.003466,            0.003466
                  35,            0.038888,            0.029043,           0.0054728,             0.56245,             0.59064,             0.58896,             0.38406,             0.05244,             0.02416,            0.010522,            0.003268,            0.003268,            0.003268
                  36,             0.03798,             0.02794,           0.0049964,             0.51938,             0.62905,             0.59034,             0.39781,            0.052256,            0.024108,            0.010904,             0.00307,             0.00307,             0.00307
                  37,            0.036998,            0.027816,           0.0049831,             0.64302,             0.59506,             0.59098,             0.40083,            0.053012,            0.023982,            0.010113,            0.002872,            0.002872,            0.002872
                  38,            0.036962,            0.028109,           0.0045506,             0.66403,             0.59067,             0.60198,             0.39508,            0.052383,            0.024495,            0.011263,            0.002674,            0.002674,            0.002674
                  39,            0.036825,            0.026977,            0.004058,             0.54977,             0.60162,             0.60291,             0.39766,            0.052233,            0.024302,           0.0093359,            0.002476,            0.002476,            0.002476
                  40,            0.035521,            0.026212,            0.003696,             0.61222,             0.60584,             0.60876,             0.39243,            0.052755,            0.024058,           0.0088569,            0.002278,            0.002278,            0.002278
                  41,            0.035327,            0.026533,           0.0039914,             0.57925,              0.5936,             0.58375,             0.38729,            0.053124,            0.025853,           0.0090581,             0.00208,             0.00208,             0.00208
                  42,            0.036297,            0.027095,           0.0037013,             0.53003,             0.60555,             0.60029,             0.39587,            0.052131,             0.02451,           0.0088404,            0.001882,            0.001882,            0.001882
                  43,            0.035328,            0.026267,           0.0035238,             0.62296,             0.57576,             0.59572,             0.41784,            0.053693,            0.024478,           0.0096954,            0.001684,            0.001684,            0.001684
                  44,            0.033932,            0.027723,           0.0034408,             0.57069,             0.57478,             0.58802,             0.40113,            0.053837,            0.025177,           0.0092341,            0.001486,            0.001486,            0.001486
                  45,            0.035929,            0.027102,            0.003522,             0.63008,             0.58573,             0.60098,             0.39231,            0.053136,            0.024739,           0.0095184,            0.001288,            0.001288,            0.001288
                  46,            0.034243,            0.027216,           0.0034426,             0.62968,             0.58086,             0.59243,             0.39525,            0.053019,            0.025278,           0.0097991,             0.00109,             0.00109,             0.00109
                  47,            0.033479,            0.027048,           0.0030899,             0.57418,             0.59632,             0.59726,             0.40609,            0.052128,             0.02517,            0.009813,            0.000892,            0.000892,            0.000892
                  48,            0.033105,            0.025924,           0.0037187,             0.58751,             0.58433,             0.59751,             0.39986,            0.052281,            0.025452,            0.009261,            0.000694,            0.000694,            0.000694
                  49,            0.032167,            0.025768,           0.0030478,             0.57785,             0.59578,             0.61499,             0.41078,            0.051591,            0.024731,           0.0093048,            0.000496,            0.000496,            0.000496
